Name,Code
ZTE CORP-A,000063
ZIJIN MINING GROUP CO LTD-A,601899
ZHUZHOU CRRC TIMES ELECTRI-A,688187
ZHONGTAI SECURITIES CO LTD-A,600918
ZHONGJIN GOLD CORP-A,600489
ZHESHANG SECURITIES CO LTD-A,601878
ZHEJIANG ZHENENG ELECTRIC-A ZHEJIANG ZHE,600023
ZHEJIANG SANHUA INTELLIGEN-A,002050
ZHEJIANG NHU CO LTD-A,002001
ZHEJIANG JUHUA CO-A 'A'CNY1,600160
ZHEJIANG JINGSHENG MECHANI-A 300316,300316
ZHEJIANG HUAYOU COBALT CO-A,603799
ZHEJIANG DAHUA TECHNOLOGY-A,002236
ZHEJIANG CHINT ELECTRICS-A,601877
ZHEJIANG CHINA COMMODITIES-A 'A'CNY1,600415
ZHANGZHOU PIENTZEHUANG PHA-A,600436
ZANGGE HOLDING CO LTD-A,000408
YUTONG BUS CO LTD-A,600066
YUNNAN BAIYAO GROUP CO LTD-A,000538
YUNNAN ALUMINIUM CO LTD-A 'A'CNY1,000807
YTO EXPRESS GROUP CO LTD-A,600233
YONYOU NETWORK TECHNOLOGY CO LTD,600588
YIHAI KERRY ARAWANA HOLDIN-A,300999
YEALINK NETWORK TECHNOLOGY-A,300628
YANZHOU COAL MINING CO-A 'A'CNY1,600188
XINJIANG TEBIAN ELECTRIC-A 'A'CNY1,600089
XINJIANG DAQO NEW ENERGY C-A,688303
XCMG CONSTRUCTION MACHIN-A,000425
WUXI APPTEC CO LTD-A,603259
WUS PRINTED CIRCUIT KUNSHA-A,002463
WULIANGYE YIBIN CO LTD-A,000858
WENS FOODSTUFFS GROUP CO - A,300498
WEICHAI POWER CO LTD-A,000338
WANHUA CHEMICAL GROUP CO LTD,600309
VICTORY GIANT TECHNOLOGY -A,300476
UNIGROUP GUOXIN MICROELECT-A,002049
TSINGTAO BREWERY CO LTD-A,600600
TSINGHUA UNISPLENDOUR CO-A,000938
TONGWEI CO LTD-A,600438
TONGLING NONFERROUS METALS-A 'A'CNY1,000630
TIANQI LITHIUM CORP-A,002466
TCL TECHNOLOGY GROUP CORP,000100
SUZHOU TFC OPTICAL COMMUNI-A,300394
SUZHOU DONGSHAN PRECISION-A,002384
SUNGROW POWER SUPPLY CO LT-A,300274
SPRING AIRLINES CO LTD-A,601021
SICHUAN ROAD&BRIDGE CO LT-A 600039,600039
SICHUAN KELUN PHARMACEUTIC-A,002422
SICHUAN CHUANTOU ENERGY CO-A 'A'CNY1,600674
SICHUAN BIOKIN PHARMACEUTI-A,688506
SHENZHEN TRANSSION HOLDING-A,688036
SHENZHEN NEW INDUSTRIES BI-A,300832
SHENZHEN MINDRAY BIO-MEDIC-A 300760,300760
SHENZHEN INOVANCE TECHNOLO-A,300124
SHENWAN HONGYUAN GROUP CO-A,000166
SHENNAN CIRCUITS CO LTD-A,002916
SHENGYI TECHNOLOGY CO LTD -A,600183
SHANXI XINGHUACUN FEN WINE-A,600809
SHANXI COKING COAL ENERGY-A,000983
SHANJIN INTERNATIONAL GOLD CONAL GOLD C,000975
SHANGHAI UNITED IMAGING HE-A,688271
SHANGHAI SIYUAN ELECTRIC CO 'A'CNY1,002028
SHANGHAI RURAL COMMERCIAL -A,601825
SHANGHAI RAAS BLOOD PRODUC-A,002252
SHANGHAI PUDONG DEVEL BANK-A,600000
SHANGHAI PHARMACEUTICALS-A,601607
SHANGHAI INTERNATIONAL POR-A,600018
SHANGHAI INTERNATIONAL AIR-A,600009
SHANGHAI FOSUN PHARMACEUTI-A,600196
SHANGHAI BAOSIGHT SOFTWARE-A,600845
SHANDONG ZHONGJI ELECTRICA-A 300308,300308
SHANDONG NANSHAN ALUMINUM-A 'A'CNY1,600219
SHANDONG HUALU HENGSHENG-A,600426
SHANDONG GOLD MINING CO LT-A,600547
SHAANXI COAL INDUSTRY CO L-A,601225
SG MICRO CORP-A 300661,300661
SEMICONDUCTOR MANUFACTURIN-A,688981
SDIC POWER HOLDINGS CO LTD-A,600886
SDIC ESSENCE HOLDINGS CO L-A,600061
SATELLITE CHEMICAL CO LTD-A,002648
SANY HEAVY INDUSTRY CO LTD-A,600031
SAILUN GROUP CO LTD-A,601058
SAIC MOTOR CORPORATION LTD-A,600104
S F HOLDING CO LTD-A,002352
RONGSHENG PETRO CHEMICAL-A,002493
ROCKCHIP ELECTRONICS CO L-A,603893
RANGE INTELLIGENT COMPUTI-A,300442
QINGHAI SALT LAKE INDUSTRY-A,000792
QINGDAO PORT INTERNATIONAL-A,601298
POWER CONSTRUCTION CORP OF-A,601669
POSTAL SAVINGS BANK OF CHI-A,601658
POLY REAL ESTATE GROUP CO -A,600048
PING AN INSURANCE GROUP CO-A,601318
PING AN BANK CO LTD-A,000001
PICC HOLDING CO-A,601319
PHARMARON BEIJING CO LTD-A,300759
PETROCHINA CO LTD-A,601857
ORIENT SECURITIES CO LTD-A,600958
OMNIVISION INTEGRATED CIRCUI,603501
NINGXIA BAOFENG ENERGY GRO-A,600989
NINGBO ZHOUSHAN PORT CO LTD,601018
NINGBO TUOPU GROUP CO LTD-A 601689,601689
NINGBO DEYE TECHNOLOGY COR-A,605117
NEW HOPE LIUHE CO LTD-A,000876
NEW CHINA LIFE INSURANCE C-A,601336
NAURA TECHNOLOGY GROUP CO-A,002371
NATIONAL SILICON INDUSTRY -A,688126
NARI TECHNOLOGY DEVELOPMEN-A,600406
MUYUAN FOODS GROUP CO LTD-A,002714
MONTAGE TECHNOLOGY CO LTD-A,688008
MIDEA GROUP CO LTD-A,000333
METALLURGICAL CORP OF CHIN-A,601618
MAXSCEND MICROELECTRONICS -A 300782,300782
MANGO EXCELLENT MEDIA CO L-A,300413
LUZHOU LAOJIAO CO LTD-A,000568
LUXSHARE PRECISION INDUSTR-A,002475
LOONGSON TECHNOLOGY CORP L-A,688047
LONGI GREEN ENERGY TECHNOL-A,601012
LENS TECHNOLOGY CO LTD-A,300433
LB GROUP CO LTD-A,002601
KWEICHOW MOUTAI CO LTD-A,600519
KUNLUN TECH CO LTD-A,300418
KUANG-CHI TECHNOLOGIES CO-A,002625
JONHON OPTRONIC TECHNOLOGY,002179
JINKO SOLAR CO LTD-A,688223
JIANGXI COPPER CO LTD-A,600362
JIANGSU ZHONGTIAN TECHNOLO-A,600522
JIANGSU YANGHE BREWERY -A,002304
JIANGSU KING'S LUCK BREWER-A,603369
JIANGSU HENGRUI MEDICINE C-A,600276
JIANGSU HENGLI HIGHPRESSUR-A,601100
JIANGSU EXPRESSWAY CO LTD-A 'A'CNY1,600377
JIANGSU EASTERN SHENGHONG -A,000301
JCET GROUP CO LTD,600584
JA SOLAR TECHNOLOGY CO LTD-A,002459
ISOFTSTONE INFORMATION TEC-A,301236
INSPUR ELECTRONIC INFORMAT-A,000977
INNER MONGOLIAN BAOTOU STEEL,600010
INNER MONGOLIA YILI INDUS-A,600887
INDUSTRIAL SECURITIES CO-A,601377
INDUSTRIAL BANK CO LTD,601166
IND & COMM BK OF CHINA - A,601398
IMEIK TECHNOLOGY DEVELOPME-A,300896
IFLYTEK CO LTD,002230
HYGON INFORMATION TECHNOLO-A,688041
HUNDSUN TECHNOLOGIES INC-A,600570
HUIZHOU DESAY SV AUTOMOTIV-A 002920,002920
HUAYU AUTOMOTIVE SYSTEMS -A,600741
HUAXIA BANK CO LTD-A,600015
HUATAI SECURITIES CO LTD-A,601688
HUAQIN TECHNOLOGY CO LTD-A,603296
HUANENG POWER INTL INC-A,600011
HUANENG LANCANG RIVER HYDR-A,600025
HUALI INDUSTRIAL GROUP CO -A,300979
HUADONG MEDICINE CO LTD-A,000963
HUADIAN POWER INTL CORP-A,600027
HUADIAN NEW ENERGY GROUP C-A,600930
HOSHINE SILICON INDUSTRY C-A,603260
HONGTA SECURITIES CO LTD-A,601236
HITHINK ROYALFLUSH INFORMA-A,300033
HENGLI PETROCHEMICAL CO L-A,600346
HENAN SHUANGHUI INVESTMENT-A,000895
HANGZHOU TIGERMED CONSULTI-A,300347
HANGZHOU SILAN MICROELECTR-A,600460
HANGZHOU HIKVISION DIGITAL-A,002415
